date,turnover,turnover_binding,lower_bound_binding,upper_bound_binding,risk_contribution_pre_constraint_max_dev,risk_contribution_post_constraint_max_dev
2019-01-31,0.0341,False,,,7.367123890100746e-08,7.367123890100746e-08
2019-02-28,0.0093,False,,,7.671107415951894e-08,7.671107411788558e-08
2019-03-29,0.0162,False,,,7.654125321054916e-08,7.654125321054916e-08
2019-04-30,0.0091,False,,,7.652690922621552e-08,7.652690922621552e-08
2019-05-31,0.3,True,,IEF,0.1,0.10130483251363177
2019-06-28,0.3,True,,,7.727908982180232e-08,0.004044063401507217
2019-07-31,0.0164,False,,,7.724196893210689e-08,7.724196895986246e-08
2019-08-30,0.0323,False,,,7.703122568980536e-08,7.703122568980536e-08
2019-09-30,0.0177,False,,,7.72868734427723e-08,7.728687347052787e-08
2019-10-31,0.0099,False,,,7.736892476684076e-08,7.736892479459634e-08
2019-11-29,0.0118,False,,,7.058535646253805e-08,7.058535646253805e-08
2019-12-31,0.017,False,,,7.678340734063038e-08,7.678340734063038e-08
2020-01-31,0.0306,False,,,7.726985842837486e-08,7.726985845613044e-08
2020-02-28,0.3,True,,,0.1,0.11652805173593914
2020-03-31,0.3,True,,,0.1,0.10899892538729426
2020-04-30,0.3,True,,,0.1,0.10639761333581672
2020-05-29,0.3,True,,,4.756623971091667e-08,0.06259417122450633
2020-06-30,0.3,True,,IEF,0.1,0.10072433229972412
2020-07-31,0.02,False,,IEF,0.1,0.10077965262263297
2020-08-31,0.3,True,,,6.794357158834696e-08,0.008132319073829178
2020-09-30,0.037,False,,,2.550712344118189e-07,2.550712344118189e-07
2020-10-30,0.0748,False,,,8.488675710960347e-08,8.488675709572568e-08
2020-11-30,0.0332,False,,,3.7540806042957175e-07,3.7540806044344954e-07
2020-12-31,0.074,False,,,7.738043375504766e-08,7.738043375504766e-08
2021-01-29,0.0423,False,,,4.648675845653205e-08,4.648675847040984e-08
2021-02-26,0.3,True,,,0.1,0.11752962319282205
2021-03-31,0.3,True,,,1.0205852189748565e-07,0.00761200826067826
2021-04-30,0.0265,False,,,7.737885804326439e-08,7.737885801550881e-08
2021-05-28,0.0124,False,,,7.648730995790665e-08,7.648730999954001e-08
2021-06-30,0.0165,False,,,7.714124439228698e-08,7.71412443645314e-08
2021-07-30,0.0143,False,,,7.652403731517321e-08,7.652403731517321e-08
2021-08-31,0.0092,False,,,7.72232686824248e-08,7.72232686824248e-08
2021-09-30,0.1046,False,,,1.4868490033626003e-07,1.4868490029462667e-07
2021-10-29,0.0937,False,,,7.718597859474041e-08,7.71859786086182e-08
2021-11-30,0.1638,False,,,3.858517283045204e-07,3.858517282906426e-07
2021-12-31,0.1696,False,,,7.680630496886831e-08,7.680630492723495e-08
2022-01-31,0.3,True,,IEF,0.1,0.10125024934690303
2022-02-28,0.3,True,,,8.65824308637908e-08,0.028436100932463515
2022-03-31,0.0535,False,,,1.3612033340770768e-07,1.3612033343546326e-07
2022-04-29,0.3,True,,,0.1,0.11850820235137749
2022-05-31,0.3,True,,,0.1,0.10336071127848964
2022-06-30,0.2927,False,,,1.2494828899312083e-07,1.2494828899312083e-07
2022-07-29,0.0201,False,,,1.201820861024272e-07,1.201820860885494e-07
2022-08-31,0.0195,False,,,1.7561684666211885e-07,1.7561684666211885e-07
2022-09-30,0.3,True,,,0.1,0.1059973022941686
2022-10-31,0.3,True,,,1.0919142665044568e-07,0.006604570922429859
2022-11-30,0.3,True,,,0.1,0.10725388090086599
2022-12-30,0.3,True,,,3.3813245142733095e-07,0.009690414263755331
2023-01-31,0.0498,False,,,1.5884012556643956e-07,1.5884012558031735e-07
2023-02-28,0.1115,False,,,7.704906601624373e-08,7.704906598848815e-08
2023-03-31,0.1607,False,,,3.049224417545071e-07,3.0492244169899596e-07
2023-04-28,0.1705,False,,,6.773210747823555e-08,6.773210743660218e-08
2023-05-31,0.0125,False,,,3.1225078606089696e-07,3.1225078608865253e-07
2023-06-30,0.0169,False,,,7.61012880073908e-08,7.610128803514637e-08
2023-07-31,0.0202,False,,,7.737962609555282e-08,7.737962609555282e-08
2023-08-31,0.0121,False,,,7.675812339902333e-08,7.675812339902333e-08
2023-09-29,0.0179,False,,,7.697747810009314e-08,7.697747810009314e-08
2023-10-31,0.0272,False,,,6.140638039719981e-08,6.140638034168866e-08
2023-11-30,0.0251,False,,,6.790956946778337e-08,6.790956948166116e-08
2023-12-29,0.0196,False,,,7.731763181084705e-08,7.731763181084705e-08
2024-01-31,0.0241,False,,,2.8557479107849115e-07,2.855747910507356e-07
2024-02-29,0.0181,False,,,7.652655796552832e-08,7.652655793777274e-08
2024-03-28,0.0128,False,,,7.738013643732167e-08,7.738013642344388e-08
2024-04-30,0.0213,False,,,3.527712915118997e-07,3.527712915812886e-07
2024-05-31,0.1095,False,,,7.740977477077582e-08,7.74097747985314e-08
2024-06-28,0.1104,False,,,3.022310764710934e-07,3.022310764572156e-07
2024-07-31,0.1182,False,,,2.31703849107312e-07,2.3170384906567865e-07
2024-08-30,0.1298,False,,,7.726965225995919e-08,7.726965228771476e-08
2024-09-30,0.0278,False,,,4.155497569657829e-08,4.155497569657829e-08
2024-10-31,0.1301,False,,,3.587657185499804e-07,3.5876571859161377e-07
2024-11-29,0.1411,False,,,7.624616475687684e-08,7.624616474299906e-08
2024-12-31,0.0162,False,,,7.737983630240475e-08,7.737983627464917e-08
2025-01-31,0.0118,False,,,7.669089042983135e-08,7.669089044370914e-08
2025-02-28,0.1759,False,,,8.723424683998449e-08,8.723424683998449e-08
2025-03-31,0.1221,False,,,3.336000959919261e-07,3.3360009603355945e-07
2025-04-30,0.0208,False,,,2.0593886221331736e-07,2.0593886221331736e-07
2025-05-30,0.0492,False,,,7.735855596380237e-08,7.735855593604679e-08
2025-06-30,0.0108,False,,,7.698409967837883e-08,7.698409966450104e-08
2025-07-31,0.0106,False,,,7.737922561035226e-08,7.737922562423005e-08
2025-08-29,0.0125,False,,,7.737208454483557e-08,7.737208454483557e-08
2025-09-30,0.0214,False,,,7.653829012244096e-08,7.653829012244096e-08
2025-10-31,0.055,False,,,3.137233028915887e-08,3.137233031691444e-08
2025-11-28,0.0583,False,,,7.666645819581763e-08,7.666645820969542e-08
2025-12-31,0.0099,False,,,7.73794491260027e-08,7.737944909824712e-08
2026-01-30,0.3,True,,,0.1,0.1192574197615065
2026-02-27,0.3,True,,,7.699909218561451e-08,0.012172215596806896
2026-03-31,0.3,True,,,0.10000000000000002,0.11760325086288873
2026-04-30,0.3,True,,,1.0692638099940588e-07,0.05235315494018465
2026-05-29,0.063,False,,,7.738066255813525e-08,7.738066253037967e-08
2026-06-30,0.1688,False,,,1.5860866443839772e-07,1.5860866442451993e-07
2026-07-31,0.0294,False,,,3.5489183781989286e-07,3.5489183781989286e-07
2026-08-31,0.1709,False,,,7.525220520332443e-08,7.525220521720222e-08
