date,turnover,turnover_binding,lower_bound_binding,upper_bound_binding,risk_contribution_pre_constraint_max_dev,risk_contribution_post_constraint_max_dev
2019-01-31,0.3,True,,TLT,,
2019-02-28,0.3,True,,,,
2019-03-29,0.3,True,,SPY,,
2019-04-30,0.2353,False,,SPY,,
2019-05-31,0.3,True,,,,
2019-06-28,0.3,True,,,,
2019-07-31,0.1608,False,,SPY,,
2019-08-30,0.3,True,,,,
2019-09-30,0.3,True,,,,
2019-10-31,0.2892,False,"IEF,TLT",,,
2019-11-29,0.3,True,,SPY,,
2019-12-31,0.2602,False,,SPY,,
2020-01-31,0.0813,False,,SPY,,
2020-02-28,0.3,True,,SPY,,
2020-03-31,0.3,True,,,,
2020-04-30,0.3,True,,GLD,,
2020-05-29,0.3,True,,,,
2020-06-30,0.3,True,,SPY,,
2020-07-31,0.1631,False,,SPY,,
2020-08-31,0.3,True,,SPY,,
2020-09-30,0.3,True,,,,
2020-10-30,0.3,True,,SPY,,
2020-11-30,0.1715,False,,SPY,,
2020-12-31,0.1808,False,,SPY,,
2021-01-29,0.0996,False,,SPY,,
2021-02-26,0.028,False,,SPY,,
2021-03-31,0.0275,False,,SPY,,
2021-04-30,0.0214,False,,SPY,,
2021-05-28,0.0145,False,,SPY,,
2021-06-30,0.032,False,,SPY,,
2021-07-30,0.3,True,,SPY,,
2021-08-31,0.1136,False,,SPY,,
2021-09-30,0.3,True,,,,
2021-10-29,0.3,True,,SPY,,
2021-11-30,0.1493,False,,SPY,,
2021-12-31,0.1608,False,,SPY,,
2022-01-31,0.1606,False,,SPY,,
2022-02-28,0.3,True,,,,
2022-03-31,0.3,True,,TLT,,
2022-04-29,0.3,True,,,,
2022-05-31,0.3,True,,,,
2022-06-30,0.3,True,,SPY,,
2022-07-29,0.3,True,,SPY,,
2022-08-31,0.221,False,,SPY,,
2022-09-30,0.3,True,,,,
2022-10-31,0.3,True,,SPY,,
2022-11-30,0.0667,False,,SPY,,
2022-12-30,0.1232,False,,SPY,,
2023-01-31,0.0392,False,,SPY,,
2023-02-28,0.0291,False,,SPY,,
2023-03-31,0.208,False,,SPY,,
2023-04-28,0.3,True,,SPY,,
2023-05-31,0.3,True,,SPY,,
2023-06-30,0.095,False,,SPY,,
2023-07-31,0.1855,False,,SPY,,
2023-08-31,0.2362,False,,SPY,,
2023-09-29,0.0353,False,,SPY,,
2023-10-31,0.0272,False,,SPY,,
2023-11-30,0.0299,False,,SPY,,
2023-12-29,0.0398,False,,SPY,,
2024-01-31,0.2425,False,,SPY,,
2024-02-29,0.1985,False,,SPY,,
2024-03-28,0.1082,False,,SPY,,
2024-04-30,0.1733,False,,SPY,,
2024-05-31,0.0265,False,,SPY,,
2024-06-28,0.0162,False,,SPY,,
2024-07-31,0.1669,False,,SPY,,
2024-08-30,0.3,True,,,,
2024-09-30,0.2928,False,,SPY,,
2024-10-31,0.3,True,,SPY,,
2024-11-29,0.3,True,,SPY,,
2024-12-31,0.049,False,,SPY,,
2025-01-31,0.1042,False,,SPY,,
2025-02-28,0.2044,False,,SPY,,
2025-03-31,0.0867,False,,SPY,,
2025-04-30,0.3,True,,,,
2025-05-30,0.3,True,,SPY,,
2025-06-30,0.1631,False,,SPY,,
2025-07-31,0.2479,False,,SPY,,
2025-08-29,0.0277,False,,SPY,,
2025-09-30,0.0262,False,,SPY,,
2025-10-31,0.3,True,,SPY,,
2025-11-28,0.2982,False,,SPY,,
2025-12-31,0.1314,False,,SPY,,
2026-01-30,0.0641,False,,SPY,,
2026-02-27,0.3,True,,,,
2026-03-31,0.3,True,,SPY,,
2026-04-30,0.3,True,,SPY,,
2026-05-29,0.3,True,,SPY,,
2026-06-30,0.0812,False,,SPY,,
2026-07-31,0.0496,False,,SPY,,
2026-08-31,0.2089,False,,SPY,,
