date,turnover,turnover_binding,lower_bound_binding,upper_bound_binding,risk_contribution_pre_constraint_max_dev,risk_contribution_post_constraint_max_dev
2019-01-31,0.2034,False,,"SPY,TLT",,
2019-02-28,0.1839,False,,SPY,,
2019-03-29,0.0176,False,,SPY,,
2019-04-30,0.0156,False,,SPY,,
2019-05-31,0.3,True,,SPY,,
2019-06-28,0.2963,False,,SPY,,
2019-07-31,0.3,True,,TLT,,
2019-08-30,0.1857,False,,TLT,,
2019-09-30,0.0696,False,,TLT,,
2019-10-31,0.2736,False,,"SPY,TLT",,
2019-11-29,0.0784,False,,"SPY,TLT",,
2019-12-31,0.2549,False,,SPY,,
2020-01-31,0.0277,False,,SPY,,
2020-02-28,0.3,True,,SPY,,
2020-03-31,0.3,True,,,,
2020-04-30,0.3,True,,,,
2020-05-29,0.3,True,,,,
2020-06-30,0.3,True,,SPY,,
2020-07-31,0.1411,False,,SPY,,
2020-08-31,0.3,True,,SPY,,
2020-09-30,0.1376,False,,SPY,,
2020-10-30,0.083,False,,SPY,,
2020-11-30,0.0505,False,,SPY,,
2020-12-31,0.3,True,,SPY,,
2021-01-29,0.2225,False,,SPY,,
2021-02-26,0.0751,False,,SPY,,
2021-03-31,0.079,False,,SPY,,
2021-04-30,0.3,True,,SPY,,
2021-05-28,0.107,False,,SPY,,
2021-06-30,0.0295,False,,SPY,,
2021-07-30,0.01,False,,SPY,,
2021-08-31,0.015,False,,SPY,,
2021-09-30,0.3,True,,SPY,,
2021-10-29,0.2913,False,,SPY,,
2021-11-30,0.3,True,,SPY,,
2021-12-31,0.3,True,,SPY,,
2022-01-31,0.3,True,,SPY,,
2022-02-28,0.1436,False,,SPY,,
2022-03-31,0.3,True,,SPY,,
2022-04-29,0.3,True,,SPY,,
2022-05-31,0.3,True,,,,
2022-06-30,0.3,True,,SPY,,
2022-07-29,0.3,True,,,,
2022-08-31,0.3,True,,TLT,,
2022-09-30,0.3,True,,SPY,,
2022-10-31,0.3,True,,SPY,,
2022-11-30,0.3,True,,SPY,,
2022-12-30,0.2477,False,,"SPY,IEF",,
2023-01-31,0.0201,False,,"SPY,IEF",,
2023-02-28,0.3,True,,SPY,,
2023-03-31,0.3,True,,"SPY,TLT",,
2023-04-28,0.0331,False,,"SPY,TLT",,
2023-05-31,0.0412,False,,"SPY,TLT",,
2023-06-30,0.2524,False,,SPY,,
2023-07-31,0.0215,False,,SPY,,
2023-08-31,0.0091,False,,SPY,,
2023-09-29,0.0271,False,,SPY,,
2023-10-31,0.0374,False,,SPY,,
2023-11-30,0.0431,False,,SPY,,
2023-12-29,0.0406,False,,SPY,,
2024-01-31,0.0834,False,,SPY,,
2024-02-29,0.0963,False,,SPY,,
2024-03-28,0.0176,False,,SPY,,
2024-04-30,0.0477,False,,SPY,,
2024-05-31,0.1098,False,,SPY,,
2024-06-28,0.1548,False,,SPY,,
2024-07-31,0.278,False,,SPY,,
2024-08-30,0.2765,False,,SPY,,
2024-09-30,0.0264,False,,SPY,,
2024-10-31,0.2586,False,,SPY,,
2024-11-29,0.2754,False,,SPY,,
2024-12-31,0.018,False,,SPY,,
2025-01-31,0.0107,False,,SPY,,
2025-02-28,0.3,True,,SPY,,
2025-03-31,0.2125,False,,SPY,,
2025-04-30,0.0883,False,,SPY,,
2025-05-30,0.1939,False,,SPY,,
2025-06-30,0.0199,False,,SPY,,
2025-07-31,0.0169,False,,SPY,,
2025-08-29,0.0153,False,,SPY,,
2025-09-30,0.0267,False,,SPY,,
2025-10-31,0.0183,False,,SPY,,
2025-11-28,0.0153,False,,SPY,,
2025-12-31,0.0201,False,,SPY,,
2026-01-30,0.2861,False,,"SPY,IEF",,
2026-02-27,0.2971,False,,SPY,,
2026-03-31,0.2735,False,,"SPY,IEF",,
2026-04-30,0.3,True,,SPY,,
2026-05-29,0.0878,False,,SPY,,
2026-06-30,0.0235,False,,SPY,,
2026-07-31,0.2958,False,,SPY,,
2026-08-31,0.2844,False,,SPY,,
