,pi_t
2008-04-11,0.17610774598437898
2008-04-14,0.11148553224498226
2008-04-15,0.10776694789536102
2008-04-16,0.07255347045592883
2008-04-17,0.081957938293217
2008-04-18,0.04384064649834934
2008-04-21,0.02775149535352132
2008-04-22,0.05713084301346404
2008-04-23,0.07752394983942654
2008-04-24,0.39291547182808284
2008-04-25,0.20870160479857464
2008-04-28,0.3602806828967645
2008-04-29,0.35344599892643364
2008-04-30,0.24379286779767168
2008-05-01,0.013727038674193967
2008-05-02,0.0037390667850750138
2008-05-05,0.00663057186023777
2008-05-06,0.012598810894102567
2008-05-07,0.018725847261123734
2008-05-08,0.04369906619933694
2008-05-09,0.09229469076962764
2008-05-12,0.08313251045748626
2008-05-13,0.19819646803951368
2008-05-14,0.24931257356463613
2008-05-15,0.3398335583692057
2008-05-16,0.4400186301288832
2008-05-19,0.5689918860815152
2008-05-20,0.7739394226682264
2008-05-21,0.42688066176003664
2008-05-22,0.24312098666135945
2008-05-23,0.17673179128061461
2008-05-27,0.10990027128731941
2008-05-28,0.15609758769829424
2008-05-29,0.1363941219147206
2008-05-30,0.37814640504714647
2008-06-02,0.28457054358889317
2008-06-03,0.15884129027656657
2008-06-04,0.20253679203371933
2008-06-05,0.06102466843067679
2008-06-06,0.010195559024036958
2008-06-09,0.001094091228637319
2008-06-10,0.006101951803012214
2008-06-11,0.0016544633918881898
2008-06-12,0.0012242657165456305
2008-06-13,0.0013973208414335915
2008-06-16,0.0005133134073243117
2008-06-17,0.0005914723900728105
2008-06-18,0.002092559566983917
2008-06-19,0.001195120232707302
2008-06-20,0.002330350243729479
2008-06-23,0.0006437253735180943
2008-06-24,0.0009174383450574969
2008-06-25,0.002573474995419646
2008-06-26,0.0003155001502955241
2008-06-27,0.0004762825992722828
2008-06-30,0.0010359994270713211
2008-07-01,0.000725049529756329
2008-07-02,0.0004680134765400649
2008-07-03,0.00028870699704845683
2008-07-07,0.000543094401496588
2008-07-08,3.9372073576794724e-05
2008-07-09,2.1669089414063856e-05
2008-07-10,4.2828810691018084e-05
2008-07-11,2.4905631398107405e-05
2008-07-14,3.0963306788719315e-05
2008-07-15,8.747850387971032e-06
2008-07-16,1e-06
2008-07-17,1.3917100371839601e-06
2008-07-18,1e-06
2008-07-21,4.727147755071767e-06
2008-07-22,4.122198130619925e-06
2008-07-23,4.320194523610122e-06
2008-07-24,4.235114694586022e-06
2008-07-25,9.449374542291322e-06
2008-07-28,2.273198601318984e-05
2008-07-29,2.9102259776658962e-05
2008-07-30,3.4617609793422242e-06
2008-07-31,6.922697379831625e-06
2008-08-01,7.4915115298008e-06
2008-08-04,9.607006144059667e-06
2008-08-05,3.2755755062636296e-06
2008-08-06,1e-06
2008-08-07,2.2800873270823086e-06
2008-08-08,1.3576095188333065e-05
2008-08-11,0.0029392724091517903
2008-08-12,0.003793149753231265
2008-08-13,0.0028682660231400875
2008-08-14,0.001560451602197131
2008-08-15,0.00036010039119356465
2008-08-18,0.0006775234944820759
2008-08-19,0.0004315842754896017
2008-08-20,0.0007358724109245313
2008-08-21,0.0007541822009424019
2008-08-22,0.004469832447193903
2008-08-25,0.0037959041601882265
2008-08-26,0.0073249087148668105
2008-08-27,0.017942002196069097
2008-08-28,0.016658898527860965
2008-08-29,0.011609064817055098
2008-09-02,0.02955692039463181
2008-09-03,0.00970817724999801
2008-09-04,0.007954381255666599
2008-09-05,0.020312797953003916
2008-09-08,0.004083040088459115
2008-09-09,0.0028850471222314185
2008-09-10,0.0003767900341540582
2008-09-11,2.2386394224483914e-05
2008-09-12,5.491379376990301e-06
2008-09-15,1e-06
2008-09-16,1e-06
2008-09-17,1e-06
2008-09-18,1e-06
2008-09-19,1.0787377940012616e-05
2008-09-22,1.1190230977964043e-06
2008-09-23,1e-06
2008-09-24,1e-06
2008-09-25,7.05251172071206e-05
2008-09-26,0.00023388451241216395
2008-09-29,1.48963852868456e-05
2008-09-30,2.592209109899507e-06
2008-10-01,1e-06
2008-10-02,1e-06
2008-10-03,1.407930461819938e-06
2008-10-06,1e-06
2008-10-07,1e-06
2008-10-08,0.0010822272686262895
2008-10-09,3.5423643736033164e-05
2008-10-10,8.996550553917402e-06
2008-10-13,1e-06
2008-10-14,1e-06
2008-10-15,1e-06
2008-10-16,1e-06
2008-10-17,1e-06
2008-10-20,1e-06
2008-10-21,1e-06
2008-10-22,1.5487166746278388e-06
2008-10-23,1e-06
2008-10-24,1e-06
2008-10-27,0.0015767317730803587
2008-10-28,3.6036020484596324e-05
2008-10-29,1.6163958790187032e-06
2008-10-30,1e-06
2008-10-31,1e-06
2008-11-03,1e-06
2008-11-04,1.5001041590516199e-06
2008-11-05,1e-06
2008-11-06,1e-06
2008-11-07,1e-06
2008-11-10,1e-06
2008-11-11,3.1184214430377024e-05
2008-11-12,5.497114677763277e-06
2008-11-13,4.346486704562143e-06
2008-11-14,1.1363562891384414e-06
2008-11-17,1e-06
2008-11-18,1e-06
2008-11-19,1e-06
2008-11-20,1e-06
2008-11-21,8.280597743559648e-05
2008-11-24,3.6114261571517686e-06
2008-11-25,1e-06
2008-11-26,1e-06
2008-11-28,1e-06
2008-12-01,1e-06
2008-12-02,1e-06
2008-12-03,1e-06
2008-12-04,0.00017051660027370174
2008-12-05,2.8715940498567177e-05
2008-12-08,2.8516500684618937e-05
2008-12-09,1.206466095413565e-05
2008-12-10,7.02157412242549e-06
2008-12-11,1e-06
2008-12-12,1e-06
2008-12-15,1e-06
2008-12-16,1e-06
2008-12-17,1e-06
2008-12-18,1e-06
2008-12-19,1e-06
2008-12-22,1e-06
2008-12-23,1e-06
2008-12-24,1e-06
2008-12-26,1.1362130736292898e-05
2008-12-29,3.761058139089364e-06
2008-12-30,1e-06
2008-12-31,1e-06
2009-01-02,1e-06
2009-01-05,1e-06
2009-01-06,1e-06
2009-01-07,1e-06
2009-01-08,1e-06
2009-01-09,1e-06
2009-01-12,1e-06
2009-01-13,1.1665231654491308e-06
2009-01-14,1e-06
2009-01-15,1.4133066723067125e-06
2009-01-16,1e-06
2009-01-20,1e-06
2009-01-21,1.4766657176243903e-05
2009-01-22,4.484609116145079e-06
2009-01-23,1e-06
2009-01-26,1.1054183245679824e-06
2009-01-27,1e-06
2009-01-28,1e-06
2009-01-29,1e-06
2009-01-30,1e-06
2009-02-02,0.0007104892259969869
2009-02-03,0.003222009846686851
2009-02-04,0.0006898475945941971
2009-02-05,0.0012214249058283006
2009-02-06,0.00037318787743958673
2009-02-09,0.00024315000500492817
2009-02-10,2.5925482066475242e-05
2009-02-11,7.209510077197628e-06
2009-02-12,5.208132240196415e-06
2009-02-13,1.3623011630169186e-06
2009-02-17,1e-06
2009-02-18,1e-06
2009-02-19,1e-06
2009-02-20,1e-06
2009-02-23,1e-06
2009-02-24,1e-06
2009-02-25,1e-06
2009-02-26,1.160020674641734e-05
2009-02-27,1e-06
