date,turnover,fee_bps,cost_as_fraction_of_nav
2019-01-02,0.0514,5.0,2.6e-05
2019-02-01,0.0365,5.0,1.8e-05
2019-03-01,0.0135,5.0,7e-06
2019-04-01,0.0177,5.0,9e-06
2019-05-01,0.0099,5.0,5e-06
2019-06-03,0.0408,5.0,2e-05
2019-07-01,0.0199,5.0,1e-05
2019-08-01,0.015,5.0,7e-06
2019-09-03,0.0401,5.0,2e-05
2019-10-01,0.0219,5.0,1.1e-05
2019-11-01,0.0118,5.0,6e-06
2019-12-02,0.0111,5.0,6e-06
2020-01-02,0.0204,5.0,1e-05
2020-02-03,0.0372,5.0,1.9e-05
2020-03-02,0.0444,5.0,2.2e-05
2020-04-01,0.0824,5.0,4.1e-05
2020-05-01,0.0469,5.0,2.3e-05
2020-06-01,0.0244,5.0,1.2e-05
2020-07-01,0.0129,5.0,6e-06
2020-08-03,0.0191,5.0,1e-05
2020-09-01,0.0249,5.0,1.2e-05
2020-10-01,0.0159,5.0,8e-06
2020-11-02,0.0143,5.0,7e-06
2020-12-01,0.0459,5.0,2.3e-05
2021-01-04,0.0179,5.0,9e-06
2021-02-01,0.0161,5.0,8e-06
2021-03-01,0.033,5.0,1.6e-05
2021-04-01,0.0211,5.0,1.1e-05
2021-05-03,0.0206,5.0,1e-05
2021-06-01,0.0153,5.0,8e-06
2021-07-01,0.0234,5.0,1.2e-05
2021-08-02,0.0197,5.0,1e-05
2021-09-01,0.0085,5.0,4e-06
2021-10-01,0.0241,5.0,1.2e-05
2021-11-01,0.0224,5.0,1.1e-05
2021-12-01,0.0274,5.0,1.4e-05
2022-01-03,0.022,5.0,1.1e-05
2022-02-01,0.0288,5.0,1.4e-05
2022-03-01,0.0296,5.0,1.5e-05
2022-04-01,0.0363,5.0,1.8e-05
2022-05-02,0.0323,5.0,1.6e-05
2022-06-01,0.0196,5.0,1e-05
2022-07-01,0.0284,5.0,1.4e-05
2022-08-01,0.0344,5.0,1.7e-05
2022-09-01,0.0169,5.0,8e-06
2022-10-03,0.0275,5.0,1.4e-05
2022-11-01,0.0359,5.0,1.8e-05
2022-12-01,0.0263,5.0,1.3e-05
2023-01-03,0.0145,5.0,7e-06
2023-02-01,0.0194,5.0,1e-05
2023-03-01,0.0151,5.0,8e-06
2023-04-03,0.0214,5.0,1.1e-05
2023-05-01,0.0088,5.0,4e-06
2023-06-01,0.0143,5.0,7e-06
2023-07-03,0.0244,5.0,1.2e-05
2023-08-01,0.0211,5.0,1.1e-05
2023-09-01,0.0158,5.0,8e-06
2023-10-02,0.0187,5.0,9e-06
2023-11-01,0.0204,5.0,1e-05
2023-12-01,0.0304,5.0,1.5e-05
2024-01-02,0.023,5.0,1.2e-05
2024-02-01,0.0179,5.0,9e-06
2024-03-01,0.0238,5.0,1.2e-05
2024-04-01,0.0143,5.0,7e-06
2024-05-01,0.0226,5.0,1.1e-05
2024-06-03,0.0145,5.0,7e-06
2024-07-01,0.01,5.0,5e-06
2024-08-01,0.0221,5.0,1.1e-05
2024-09-03,0.0111,5.0,6e-06
2024-10-01,0.0153,5.0,8e-06
2024-11-01,0.0256,5.0,1.3e-05
2024-12-02,0.0236,5.0,1.2e-05
2025-01-02,0.0192,5.0,1e-05
2025-02-03,0.0131,5.0,7e-06
2025-03-03,0.0141,5.0,7e-06
2025-04-01,0.0238,5.0,1.2e-05
2025-05-01,0.0245,5.0,1.2e-05
2025-06-02,0.0191,5.0,1e-05
2025-07-01,0.015,5.0,7e-06
2025-08-01,0.0119,5.0,6e-06
2025-09-02,0.016,5.0,8e-06
2025-10-01,0.0249,5.0,1.2e-05
2025-11-03,0.0146,5.0,7e-06
2025-12-01,0.0133,5.0,7e-06
2026-01-02,0.0116,5.0,6e-06
2026-02-02,0.0314,5.0,1.6e-05
2026-03-02,0.0257,5.0,1.3e-05
2026-04-01,0.0404,5.0,2e-05
2026-05-01,0.043,5.0,2.2e-05
2026-06-01,0.0236,5.0,1.2e-05
2026-07-01,0.0368,5.0,1.8e-05
2026-08-03,0.0284,5.0,1.4e-05
