date,turnover,fee_bps,cost_as_fraction_of_nav
2019-01-02,0.0458,5.0,2.3e-05
2019-02-01,0.0322,5.0,1.6e-05
2019-03-01,0.0115,5.0,6e-06
2019-04-01,0.0174,5.0,9e-06
2019-05-01,0.0094,5.0,5e-06
2019-06-03,0.036,5.0,1.8e-05
2019-07-01,0.0175,5.0,9e-06
2019-08-01,0.0085,5.0,4e-06
2019-09-03,0.0332,5.0,1.7e-05
2019-10-01,0.0188,5.0,9e-06
2019-11-01,0.0099,5.0,5e-06
2019-12-02,0.0085,5.0,4e-06
2020-01-02,0.0199,5.0,1e-05
2020-02-03,0.0324,5.0,1.6e-05
2020-03-02,0.0408,5.0,2e-05
2020-04-01,0.082,5.0,4.1e-05
2020-05-01,0.0466,5.0,2.3e-05
2020-06-01,0.0271,5.0,1.4e-05
2020-07-01,0.0131,5.0,7e-06
2020-08-03,0.02,5.0,1e-05
2020-09-01,0.0212,5.0,1.1e-05
2020-10-01,0.0174,5.0,9e-06
2020-11-02,0.0119,5.0,6e-06
2020-12-01,0.0367,5.0,1.8e-05
2021-01-04,0.0173,5.0,9e-06
2021-02-01,0.0138,5.0,7e-06
2021-03-01,0.0291,5.0,1.5e-05
2021-04-01,0.0159,5.0,8e-06
2021-05-03,0.0155,5.0,8e-06
2021-06-01,0.0139,5.0,7e-06
2021-07-01,0.0194,5.0,1e-05
2021-08-02,0.0131,5.0,7e-06
2021-09-01,0.0071,5.0,4e-06
2021-10-01,0.0177,5.0,9e-06
2021-11-01,0.0184,5.0,9e-06
2021-12-01,0.0259,5.0,1.3e-05
2022-01-03,0.0194,5.0,1e-05
2022-02-01,0.0201,5.0,1e-05
2022-03-01,0.0227,5.0,1.1e-05
2022-04-01,0.0337,5.0,1.7e-05
2022-05-02,0.0289,5.0,1.4e-05
2022-06-01,0.0159,5.0,8e-06
2022-07-01,0.028,5.0,1.4e-05
2022-08-01,0.0258,5.0,1.3e-05
2022-09-01,0.0118,5.0,6e-06
2022-10-03,0.02,5.0,1e-05
2022-11-01,0.0327,5.0,1.6e-05
2022-12-01,0.0206,5.0,1e-05
2023-01-03,0.0125,5.0,6e-06
2023-02-01,0.0149,5.0,7e-06
2023-03-01,0.0123,5.0,6e-06
2023-04-03,0.0165,5.0,8e-06
2023-05-01,0.006,5.0,3e-06
2023-06-01,0.0107,5.0,5e-06
2023-07-03,0.0209,5.0,1e-05
2023-08-01,0.022,5.0,1.1e-05
2023-09-01,0.0115,5.0,6e-06
2023-10-02,0.0187,5.0,9e-06
2023-11-01,0.0188,5.0,9e-06
2023-12-01,0.0262,5.0,1.3e-05
2024-01-02,0.0208,5.0,1e-05
2024-02-01,0.0128,5.0,6e-06
2024-03-01,0.0203,5.0,1e-05
2024-04-01,0.0144,5.0,7e-06
2024-05-01,0.0177,5.0,9e-06
2024-06-03,0.0087,5.0,4e-06
2024-07-01,0.0077,5.0,4e-06
2024-08-01,0.0162,5.0,8e-06
2024-09-03,0.0068,5.0,3e-06
2024-10-01,0.0125,5.0,6e-06
2024-11-01,0.0243,5.0,1.2e-05
2024-12-02,0.0163,5.0,8e-06
2025-01-02,0.0174,5.0,9e-06
2025-02-03,0.0133,5.0,7e-06
2025-03-03,0.0114,5.0,6e-06
2025-04-01,0.019,5.0,9e-06
2025-05-01,0.0206,5.0,1e-05
2025-06-02,0.0208,5.0,1e-05
2025-07-01,0.0109,5.0,5e-06
2025-08-01,0.0099,5.0,5e-06
2025-09-02,0.0125,5.0,6e-06
2025-10-01,0.0224,5.0,1.1e-05
2025-11-03,0.0106,5.0,5e-06
2025-12-01,0.0089,5.0,4e-06
2026-01-02,0.0093,5.0,5e-06
2026-02-02,0.0299,5.0,1.5e-05
2026-03-02,0.0236,5.0,1.2e-05
2026-04-01,0.0316,5.0,1.6e-05
2026-05-01,0.0328,5.0,1.6e-05
2026-06-01,0.0136,5.0,7e-06
2026-07-01,0.0314,5.0,1.6e-05
2026-08-03,0.0233,5.0,1.2e-05
