date,turnover,fee_bps,cost_as_fraction_of_nav
2019-01-02,0.0473,5.0,2.4e-05
2019-02-01,0.0341,5.0,1.7e-05
2019-03-01,0.0093,5.0,5e-06
2019-04-01,0.0162,5.0,8e-06
2019-05-01,0.0091,5.0,5e-06
2019-06-03,0.3,5.0,0.00015
2019-07-01,0.3,5.0,0.00015
2019-08-01,0.0164,5.0,8e-06
2019-09-03,0.0323,5.0,1.6e-05
2019-10-01,0.0177,5.0,9e-06
2019-11-01,0.0099,5.0,5e-06
2019-12-02,0.0118,5.0,6e-06
2020-01-02,0.017,5.0,9e-06
2020-02-03,0.0306,5.0,1.5e-05
2020-03-02,0.3,5.0,0.00015
2020-04-01,0.3,5.0,0.00015
2020-05-01,0.3,5.0,0.00015
2020-06-01,0.3,5.0,0.00015
2020-07-01,0.1151,5.0,5.8e-05
2020-08-03,0.289,5.0,0.000144
2020-09-01,0.3,5.0,0.00015
2020-10-01,0.037,5.0,1.9e-05
2020-11-02,0.0748,5.0,3.7e-05
2020-12-01,0.0332,5.0,1.7e-05
2021-01-04,0.074,5.0,3.7e-05
2021-02-01,0.0423,5.0,2.1e-05
2021-03-01,0.3,5.0,0.00015
2021-04-01,0.3,5.0,0.00015
2021-05-03,0.0265,5.0,1.3e-05
2021-06-01,0.0124,5.0,6e-06
2021-07-01,0.0165,5.0,8e-06
2021-08-02,0.0143,5.0,7e-06
2021-09-01,0.0092,5.0,5e-06
2021-10-01,0.1046,5.0,5.2e-05
2021-11-01,0.0937,5.0,4.7e-05
2021-12-01,0.1638,5.0,8.2e-05
2022-01-03,0.1696,5.0,8.5e-05
2022-02-01,0.3,5.0,0.00015
2022-03-01,0.3,5.0,0.00015
2022-04-01,0.0535,5.0,2.7e-05
2022-05-02,0.3,5.0,0.00015
2022-06-01,0.3,5.0,0.00015
2022-07-01,0.2674,5.0,0.000134
2022-08-01,0.0202,5.0,1e-05
2022-09-01,0.0374,5.0,1.9e-05
2022-10-03,0.3,5.0,0.00015
2022-11-01,0.3,5.0,0.00015
2022-12-01,0.1189,5.0,5.9e-05
2023-01-03,0.1456,5.0,7.3e-05
2023-02-01,0.0984,5.0,4.9e-05
2023-03-01,0.1115,5.0,5.6e-05
2023-04-03,0.1607,5.0,8e-05
2023-05-01,0.1705,5.0,8.5e-05
2023-06-01,0.0125,5.0,6e-06
2023-07-03,0.0169,5.0,8e-06
2023-08-01,0.0202,5.0,1e-05
2023-09-01,0.0121,5.0,6e-06
2023-10-02,0.0179,5.0,9e-06
2023-11-01,0.0272,5.0,1.4e-05
2023-12-01,0.0251,5.0,1.3e-05
2024-01-02,0.0196,5.0,1e-05
2024-02-01,0.0241,5.0,1.2e-05
2024-03-01,0.0181,5.0,9e-06
2024-04-01,0.0128,5.0,6e-06
2024-05-01,0.0213,5.0,1.1e-05
2024-06-03,0.1095,5.0,5.5e-05
2024-07-01,0.1104,5.0,5.5e-05
2024-08-01,0.1182,5.0,5.9e-05
2024-09-03,0.1298,5.0,6.5e-05
2024-10-01,0.0278,5.0,1.4e-05
2024-11-01,0.1301,5.0,6.5e-05
2024-12-02,0.1411,5.0,7.1e-05
2025-01-02,0.0162,5.0,8e-06
2025-02-03,0.0118,5.0,6e-06
2025-03-03,0.1759,5.0,8.8e-05
2025-04-01,0.1221,5.0,6.1e-05
2025-05-01,0.0208,5.0,1e-05
2025-06-02,0.0492,5.0,2.5e-05
2025-07-01,0.0108,5.0,5e-06
2025-08-01,0.0106,5.0,5e-06
2025-09-02,0.0125,5.0,6e-06
2025-10-01,0.0214,5.0,1.1e-05
2025-11-03,0.055,5.0,2.7e-05
2025-12-01,0.0583,5.0,2.9e-05
2026-01-02,0.0099,5.0,5e-06
2026-02-02,0.3,5.0,0.00015
2026-03-02,0.3,5.0,0.00015
2026-04-01,0.3,5.0,0.00015
2026-05-01,0.3,5.0,0.00015
2026-06-01,0.063,5.0,3.2e-05
2026-07-01,0.1688,5.0,8.4e-05
2026-08-03,0.0294,5.0,1.5e-05
