date,turnover,fee_bps,cost_as_fraction_of_nav
2019-01-02,0.3,5.0,0.00015
2019-02-01,0.3,5.0,0.00015
2019-03-01,0.3,5.0,0.00015
2019-04-01,0.3,5.0,0.00015
2019-05-01,0.2353,5.0,0.000118
2019-06-03,0.3,5.0,0.00015
2019-07-01,0.3,5.0,0.00015
2019-08-01,0.1608,5.0,8e-05
2019-09-03,0.3,5.0,0.00015
2019-10-01,0.3,5.0,0.00015
2019-11-01,0.2892,5.0,0.000145
2019-12-02,0.3,5.0,0.00015
2020-01-02,0.2602,5.0,0.00013
2020-02-03,0.0813,5.0,4.1e-05
2020-03-02,0.3,5.0,0.00015
2020-04-01,0.3,5.0,0.00015
2020-05-01,0.3,5.0,0.00015
2020-06-01,0.3,5.0,0.00015
2020-07-01,0.3,5.0,0.00015
2020-08-03,0.1631,5.0,8.2e-05
2020-09-01,0.3,5.0,0.00015
2020-10-01,0.3,5.0,0.00015
2020-11-02,0.3,5.0,0.00015
2020-12-01,0.1715,5.0,8.6e-05
2021-01-04,0.1808,5.0,9e-05
2021-02-01,0.0996,5.0,5e-05
2021-03-01,0.028,5.0,1.4e-05
2021-04-01,0.0275,5.0,1.4e-05
2021-05-03,0.0214,5.0,1.1e-05
2021-06-01,0.0145,5.0,7e-06
2021-07-01,0.032,5.0,1.6e-05
2021-08-02,0.3,5.0,0.00015
2021-09-01,0.1136,5.0,5.7e-05
2021-10-01,0.3,5.0,0.00015
2021-11-01,0.3,5.0,0.00015
2021-12-01,0.1493,5.0,7.5e-05
2022-01-03,0.1608,5.0,8e-05
2022-02-01,0.1606,5.0,8e-05
2022-03-01,0.3,5.0,0.00015
2022-04-01,0.3,5.0,0.00015
2022-05-02,0.3,5.0,0.00015
2022-06-01,0.3,5.0,0.00015
2022-07-01,0.3,5.0,0.00015
2022-08-01,0.3,5.0,0.00015
2022-09-01,0.221,5.0,0.00011
2022-10-03,0.3,5.0,0.00015
2022-11-01,0.3,5.0,0.00015
2022-12-01,0.0667,5.0,3.3e-05
2023-01-03,0.1232,5.0,6.2e-05
2023-02-01,0.0392,5.0,2e-05
2023-03-01,0.0291,5.0,1.5e-05
2023-04-03,0.208,5.0,0.000104
2023-05-01,0.3,5.0,0.00015
2023-06-01,0.3,5.0,0.00015
2023-07-03,0.095,5.0,4.8e-05
2023-08-01,0.1855,5.0,9.3e-05
2023-09-01,0.2362,5.0,0.000118
2023-10-02,0.0353,5.0,1.8e-05
2023-11-01,0.0272,5.0,1.4e-05
2023-12-01,0.0299,5.0,1.5e-05
2024-01-02,0.0398,5.0,2e-05
2024-02-01,0.2425,5.0,0.000121
2024-03-01,0.1985,5.0,9.9e-05
2024-04-01,0.1082,5.0,5.4e-05
2024-05-01,0.1733,5.0,8.7e-05
2024-06-03,0.0265,5.0,1.3e-05
2024-07-01,0.0162,5.0,8e-06
2024-08-01,0.1669,5.0,8.3e-05
2024-09-03,0.3,5.0,0.00015
2024-10-01,0.2928,5.0,0.000146
2024-11-01,0.3,5.0,0.00015
2024-12-02,0.3,5.0,0.00015
2025-01-02,0.049,5.0,2.4e-05
2025-02-03,0.1042,5.0,5.2e-05
2025-03-03,0.2044,5.0,0.000102
2025-04-01,0.0867,5.0,4.3e-05
2025-05-01,0.3,5.0,0.00015
2025-06-02,0.3,5.0,0.00015
2025-07-01,0.1631,5.0,8.2e-05
2025-08-01,0.2479,5.0,0.000124
2025-09-02,0.0277,5.0,1.4e-05
2025-10-01,0.0262,5.0,1.3e-05
2025-11-03,0.3,5.0,0.00015
2025-12-01,0.2982,5.0,0.000149
2026-01-02,0.1314,5.0,6.6e-05
2026-02-02,0.0641,5.0,3.2e-05
2026-03-02,0.3,5.0,0.00015
2026-04-01,0.3,5.0,0.00015
2026-05-01,0.3,5.0,0.00015
2026-06-01,0.3,5.0,0.00015
2026-07-01,0.0812,5.0,4.1e-05
2026-08-03,0.0496,5.0,2.5e-05
