date,turnover,fee_bps,cost_as_fraction_of_nav
2019-01-02,0.3,5.0,0.00015
2019-02-01,0.2034,5.0,0.000102
2019-03-01,0.1839,5.0,9.2e-05
2019-04-01,0.0176,5.0,9e-06
2019-05-01,0.0156,5.0,8e-06
2019-06-03,0.3,5.0,0.00015
2019-07-01,0.2963,5.0,0.000148
2019-08-01,0.3,5.0,0.00015
2019-09-03,0.1857,5.0,9.3e-05
2019-10-01,0.0696,5.0,3.5e-05
2019-11-01,0.2736,5.0,0.000137
2019-12-02,0.0784,5.0,3.9e-05
2020-01-02,0.2549,5.0,0.000127
2020-02-03,0.0277,5.0,1.4e-05
2020-03-02,0.3,5.0,0.00015
2020-04-01,0.3,5.0,0.00015
2020-05-01,0.3,5.0,0.00015
2020-06-01,0.3,5.0,0.00015
2020-07-01,0.3,5.0,0.00015
2020-08-03,0.3,5.0,0.00015
2020-09-01,0.3,5.0,0.00015
2020-10-01,0.189,5.0,9.4e-05
2020-11-02,0.0833,5.0,4.2e-05
2020-12-01,0.0505,5.0,2.5e-05
2021-01-04,0.3,5.0,0.00015
2021-02-01,0.2225,5.0,0.000111
2021-03-01,0.0751,5.0,3.8e-05
2021-04-01,0.079,5.0,4e-05
2021-05-03,0.3,5.0,0.00015
2021-06-01,0.107,5.0,5.3e-05
2021-07-01,0.0295,5.0,1.5e-05
2021-08-02,0.01,5.0,5e-06
2021-09-01,0.015,5.0,7e-06
2021-10-01,0.3,5.0,0.00015
2021-11-01,0.2913,5.0,0.000146
2021-12-01,0.3,5.0,0.00015
2022-01-03,0.3,5.0,0.00015
2022-02-01,0.3,5.0,0.00015
2022-03-01,0.1436,5.0,7.2e-05
2022-04-01,0.3,5.0,0.00015
2022-05-02,0.3,5.0,0.00015
2022-06-01,0.3,5.0,0.00015
2022-07-01,0.3,5.0,0.00015
2022-08-01,0.3,5.0,0.00015
2022-09-01,0.3,5.0,0.00015
2022-10-03,0.3,5.0,0.00015
2022-11-01,0.3,5.0,0.00015
2022-12-01,0.3,5.0,0.00015
2023-01-03,0.2404,5.0,0.00012
2023-02-01,0.0196,5.0,1e-05
2023-03-01,0.3,5.0,0.00015
2023-04-03,0.3,5.0,0.00015
2023-05-01,0.0331,5.0,1.7e-05
2023-06-01,0.0412,5.0,2.1e-05
2023-07-03,0.2524,5.0,0.000126
2023-08-01,0.0215,5.0,1.1e-05
2023-09-01,0.0091,5.0,5e-06
2023-10-02,0.0271,5.0,1.4e-05
2023-11-01,0.0374,5.0,1.9e-05
2023-12-01,0.0431,5.0,2.2e-05
2024-01-02,0.0406,5.0,2e-05
2024-02-01,0.0834,5.0,4.2e-05
2024-03-01,0.0963,5.0,4.8e-05
2024-04-01,0.0176,5.0,9e-06
2024-05-01,0.0477,5.0,2.4e-05
2024-06-03,0.1098,5.0,5.5e-05
2024-07-01,0.1548,5.0,7.7e-05
2024-08-01,0.278,5.0,0.000139
2024-09-03,0.2765,5.0,0.000138
2024-10-01,0.0264,5.0,1.3e-05
2024-11-01,0.2586,5.0,0.000129
2024-12-02,0.2754,5.0,0.000138
2025-01-02,0.018,5.0,9e-06
2025-02-03,0.0107,5.0,5e-06
2025-03-03,0.3,5.0,0.00015
2025-04-01,0.2125,5.0,0.000106
2025-05-01,0.0883,5.0,4.4e-05
2025-06-02,0.1939,5.0,9.7e-05
2025-07-01,0.0199,5.0,1e-05
2025-08-01,0.0169,5.0,8e-06
2025-09-02,0.0153,5.0,8e-06
2025-10-01,0.0267,5.0,1.3e-05
2025-11-03,0.0183,5.0,9e-06
2025-12-01,0.0153,5.0,8e-06
2026-01-02,0.0201,5.0,1e-05
2026-02-02,0.2861,5.0,0.000143
2026-03-02,0.2971,5.0,0.000149
2026-04-01,0.2735,5.0,0.000137
2026-05-01,0.3,5.0,0.00015
2026-06-01,0.0878,5.0,4.4e-05
2026-07-01,0.0235,5.0,1.2e-05
2026-08-03,0.2958,5.0,0.000148
